Hillary Clinton	Democratic
Donald Trump	Republican
Gary Johnson	Libertarian
Jill Stein	Green
Evan McMullin	Independent
Others	Other
Margin
Total
New York	29	4556124	59.01%	29	2819534	36.52%	0	176598	2.29%	0	107934	1.40%	0	10373	0.13%	0	50890	0.66%	0	−1,736,590	−22.49%	7721453	NY
North Carolina	15	2189316	46.17%	0	2362631	49.83%	15	130126	2.74%	0	12105	0.26%	0	0	0	0	47386	1.00%	0	173315	3.66%	4741564	NC
North Dakota	3	93758	27.23%	0	216794	62.96%	3	21434	6.22%	0	3780	1.10%	0	0	0	0	8594	2.49%	0	123036	35.73%	344360	ND
Ohio	18	2394164	43.56%	0	2841005	51.69%	18	174498	3.17%	0	46271	0.84%	0	12574	0.23%	0	27975	0.51%	0	446841	8.13%	5496487	OH
Oklahoma	7	420375	28.93%	0	949136	65.32%	7	83481	5.75%	0	0	0	0	0	0	0	N/A	N/A	0	528761	37.08%	1452992	OK
Oregon	7	1002106	50.07%	7	782403	39.09%	0	94231	4.71%	0	50002	2.50%	0	0	0	0	72594	3.63%	0	−219,703	−10.98%	2001336	OR
Pennsylvania	20	2926441	47.46%	0	2970733	48.18%	20	146715	2.38%	0	49941	0.81%	0	6472	0.11%	0	65176	1.06%	0	44292	0.72%	6165478	PA
Rhode Island	4	252525	54.41%	4	180543	38.90%	0	14746	3.18%	0	6220	1.34%	0	516	0.11%	0	9594	2.07%	0	−71,982	−15.51%	464144	RI
South Carolina	9	855373	40.67%	0	1155389	54.94%	9	49204	2.34%	0	13034	0.62%	0	21016	1.00%	0	9011	0.43%	0	300016	14.27%	2103027	SC
South Dakota	3	117458	31.74%	0	227721	61.53%	3	20850	5.63%	0	0	0	0	0	0	0	4064	1.10%	0	110263	29.79%	370093	SD
Tennessee	11	870695	34.72%	0	1522925	60.72%	11	70397	2.81%	0	15993	0.64%	0	11991	0.48%	0	16026	0.64%	0	652230	26.01%	2508027	TN
Texas	38	3877868	43.24%	0	4685047	52.23%	36	283492	3.16%	0	71558	0.80%	0	42366	0.47%	0	8895	0.10%	2	807179	8.99%	8969226	TX
Utah	6	310676	27.46%	0	515231	45.54%	6	39608	3.50%	0	9438	0.83%	0	243690	21.54%	0	12787	1.13%	0	204555	18.08%	1131430	UT
Vermont	3	178573	56.68%	3	95369	30.27%	0	10078	3.20%	0	6758	2.14%	0	639	0.20%	0	23650	7.51%	0	−83,204	−26.41%	315067	VT
Virginia	13	1981473	49.73%	13	1769443	44.41%	0	118274	2.97%	0	27638	0.69%	0	54054	1.36%	0	33749	0.85%	0	−212,030	−5.32%	3984631	VA
Washington	12	1742718	52.54%	8	1221747	36.83%	0	160879	4.85%	0	58417	1.76%	0	0	0	0	133258	4.02%	4	−520,971	−15.71%	3317019	WA
West Virginia	5	188794	26.43%	0	489371	68.50%	5	23004	3.22%	0	8075	1.13%	0	1104	0.15%	0	4075	0.57%	0	300577	42.07%	714423	WV
Wisconsin	10	1382536	46.45%	0	1405284	47.22%	10	106674	3.58%	0	31072	1.04%	0	11855	0.40%	0	38729	1.30%	0	22748	0.77%	2976150	WI
Wyoming	3	55973	21.63%	0	174419	67.40%	3	13287	5.13%	0	2515	0.97%	0	0	0	0	9655	3.73%	0	118446	46.30%	255849	WY
U. S. Total	538	65853514	48.18%	227	62984828	46.09%	304	4489341	3.28%	0	1457218	1.07%	0	731991	0.54%	0	1154084	0.84%	7	−2,868,686	−2.10%	136669276	US
